Bitcoin;BTC;https://myfin.by/crypto-rates/bitcoin;19177.5$;19177.5$;+296.42;367 945 939 107$;843 290 000$;+1.5699%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
Tether;USDT;https://myfin.by/crypto-rates/tether;1$;1$;+0;68 453 109 229$;218 580 000$;+0%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
Tronix;TRX;https://myfin.by/crypto-rates/tronix;0.0615$;0.0615$;+0.0002;5 675 986 194$;50 546 000$;+0.3426%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
Ethereum Classic;ETC;https://myfin.by/crypto-rates/ethereumclassic;21.97$;21.97$;+0.64;2 956 376 062$;28 323 400$;+3.0005%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
EOS;EOS;https://myfin.by/crypto-rates/eos;1.059$;1.059$;-0.003;1 131 572 776$;14 170 200$;-0.2825%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
Stellar;XLM;https://myfin.by/crypto-rates/stellar;0.111$;0.111$;+0.0022;5 550 198 419$;7 606 330$;+2.0221%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
Monero;XMR;https://myfin.by/crypto-rates/monero;142.03$;142.03$;+2.94;2 583 608 477$;4 504 480$;+2.1137%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
LEOcoin;LEO;https://myfin.by/crypto-rates/leocoin;4.065$;4.065$;-0.024;3 795 181 075$;2 685 960$;-0.5869%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
Decred;DCR;https://myfin.by/crypto-rates/decred;26.17$;26.17$;+0.81;378 043 957$;1 499 100$;+3.194%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
Monaco;MCO;https://myfin.by/crypto-rates/monaco;3.59$;3.59$;+0.02;113 399 779$;866 945$;+0.5602%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
Ethereum ;ETH;https://myfin.by/crypto-rates/ethereum;1305.98$;1305.98$;+36.52;159 817 818 252$;577 528 000$;+2.8768%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
Ripple;XRP;https://myfin.by/crypto-rates/ripple;0.4657$;0.4657$;+0.0225;46 564 997 733$;58 395 100$;+5.0767%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
Bitcoin Cash / BCC;BCH;https://myfin.by/crypto-rates/bitcoincash;107.8$;107.8$;+2.9;2 070 598 133$;36 105 200$;+2.7645%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
Litecoin;LTC;https://myfin.by/crypto-rates/litecoin;51.93$;51.93$;+1.48;3 709 921 820$;14 632 200$;+2.9336%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
Dogecoin;DOGE;https://myfin.by/crypto-rates/dogecoin;0.05945$;0.05945$;+0.0011;8 119 997 653$;12 755 100$;+1.9376%
0:Время последнего обновления 15:21 22.10.2022;Стартовый курс:2.62975$;Средневзвешенный курс:2.67157$;Объём (24 ч).:0$;Капитализация:0$;Изменение за день USD:+0.0418244$;Последняя сделка (биржа):;Алгоритм:Scrypt;
